商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価,フェイスくくり大分類
ラッキーＳリッチタバコ,134895.0,345.0,80,2,0.16223400439404656,58.33618977189615,A,1686.0,391.0,290:たばこ
ＭＶＧレッドＭウィズ,134316.0,246.0,68,2,0.16153765917336269,58.497727431069514,A,1975.0,546.0,290:たばこ
テリヤキチキンとたまごＳ,133399.0,413.0,29,2,0.1604348119067528,58.65816224297627,A,4600.0,323.0,110:調理パン
じゃがりこサラダ,130795.0,707.0,92,3,0.15730306241683772,58.815465305393104,A,1422.0,185.0,195:スナック菓子
サンドおむすび　豚焼肉,129846.0,402.0,29,3,0.15616172974943007,58.97162703514253,A,4477.0,323.0,100:米飯
キャメルリッチプルーム,128310.0,282.0,71,3,0.15431443051113916,59.125941465653675,A,1807.0,455.0,290:たばこ
ザバスミルクココア風味,127772.0,728.0,89,2,0.15366739471022736,59.2796088603639,A,1436.0,176.0,135:牛乳・チルド飲料
焦がし醤油風グリルチキン,126198.0,342.0,35,1,0.1517743940584891,59.43138325442239,A,3606.0,369.0,110:調理パン
シルキータッチ大きめ,125768.0,316.0,89,3,0.15125724648526964,59.582640500907665,A,1413.0,398.0,240:紙・衛生用品
◎クランベリー＆チーズク,125538.0,854.0,64,2,0.15098063266703599,59.7336211335747,A,1962.0,147.0,145:パン
ＭＶＰＧレギュラーウィズ,124488.0,228.0,59,2,0.14971783045336054,59.88333896402806,A,2110.0,546.0,290:たばこ
耐風ビニール傘７０,124128.0,144.0,30,2,0.14928486969438612,60.03262383372245,A,4138.0,862.0,260:雨具
イーラインマスクベージュ,123487.0,413.0,92,2,0.14851395900965664,60.1811377927321,A,1342.0,299.0,240:紙・衛生用品
オレンジ,123480.0,392.0,69,2,0.14850554032823213,60.32964333306033,A,1790.0,315.0,135:牛乳・チルド飲料
◎生コッペパン（焼きそば,123079.0,737.0,91,2,0.14802327014948558,60.47766660320982,A,1353.0,167.0,145:パン
こってり炒飯おむすび,121512.0,732.0,29,3,0.14613868817917186,60.62380529138899,A,4190.0,166.0,100:米飯
チキン南蛮サンド,120663.0,327.0,28,1,0.14511762238925716,60.76892291377825,A,4309.0,369.0,110:調理パン
炭火焼うなぎおむすび,120294.0,326.0,24,3,0.14467383761130836,60.913596751389555,A,5012.0,369.0,100:米飯
メビウスＥＸＬ,119328.0,226.0,77,3,0.14351205957472696,61.05710881096428,A,1550.0,528.0,290:たばこ
大きな　チキンとタルタル,118864.0,391.0,16,3,0.1429540212631599,61.20006283222744,A,7429.0,304.0,100:米飯
◎しっとりケーキ（チョコ,118665.0,879.0,89,3,0.14271469017694902,61.34277752240439,A,1333.0,135.0,145:パン
ラッキーＥＸカット６,117700.0,275.0,81,3,0.14155411480914254,61.48433163721353,A,1453.0,428.0,290:たばこ
アメスピライト,117274.0,307.0,85,3,0.1410417779110228,61.62537341512455,A,1380.0,382.0,290:たばこ
天然水きりっとヨグ,117024.0,736.0,47,3,0.14074111071729054,61.76611452584184,A,2490.0,159.0,215:ドライ飲料
伊右衛門特茶,116960.0,688.0,92,1,0.1406641399156951,61.906778665757535,A,1271.0,170.0,215:ドライ飲料
グリーンダカラ,116184.0,824.0,75,2,0.13973086894635017,62.04650953470389,A,1549.0,141.0,215:ドライ飲料
サーモン寿司,116130.0,490.0,35,3,0.139665924832504,62.18617545953639,A,3318.0,237.0,100:米飯
具だくさん炙り焼鶏つくね,115446.0,542.0,36,3,0.1388432993904526,62.325018758926845,A,3207.0,213.0,100:米飯
ハムレタスたまごサンド,115275.0,435.0,57,2,0.13863764302993975,62.46365640195678,A,2022.0,265.0,110:調理パン
ＭＶＰＧフローズンウィズ,115206.0,211.0,54,2,0.13855465888446963,62.60221106084125,A,2133.0,546.0,290:たばこ
◎グリルチキンＢＰ,115141.0,521.0,92,2,0.13847648541409924,62.74068754625535,A,1252.0,221.0,120:惣菜
青磯海苔　漬けサーモン,113828.0,572.0,29,3,0.13689738131261747,62.877584927567966,A,3925.0,199.0,100:米飯
青しそ高菜おむすび,113146.0,814.0,26,3,0.1360771612081159,63.01366208877608,A,4352.0,139.0,100:米飯
ポケカ拡張メガブレイブ,112996.0,689.0,12,3,0.13589676089187655,63.149558849667955,A,9416.0,164.0,250:文具・玩具・趣味雑貨
野菜一日これ一本,112887.0,999.0,92,2,0.1357656699954093,63.28532451966336,A,1227.0,113.0,135:牛乳・チルド飲料
ポケカ拡張メガシンフォ,112832.0,688.0,13,3,0.1356995232127882,63.42102404287615,A,8679.0,164.0,250:文具・玩具・趣味雑貨
大粒ラムネ,112651.0,847.0,92,3,0.13548184016452605,63.55650588304067,A,1224.0,133.0,180:ガム・キャンディ
ＭＶシトラスＯＰプルーム,112622.0,244.0,72,2,0.1354469627700531,63.691952845810725,A,1564.0,462.0,290:たばこ
忍者めしラムネ,112125.0,897.0,92,3,0.1348492363889134,63.82680208219964,A,1219.0,125.0,180:ガム・キャンディ
ケントエス１・１００Ｂ,111930.0,246.0,78,3,0.13461471597780225,63.961416798177446,A,1435.0,455.0,290:たばこ
◎ミニクリームパン５個入,111452.0,748.0,92,2,0.1340398403033862,64.09545663848083,A,1211.0,149.0,145:パン
テリアメンソール１０Ｐ,110733.0,21.0,16,3,0.13317512145421226,64.22863175993504,A,6921.0,5273.0,290:たばこ
◎ファミマ・ザ・カレーパ,110366.0,794.0,90,3,0.1327337420138133,64.36136550194885,A,1226.0,139.0,145:パン
◎黒胡椒香るチーズフラン,109296.0,594.0,49,3,0.13144688642463928,64.4928123883735,A,2231.0,184.0,145:パン
爽健美茶３００,109230.0,993.0,92,1,0.13136751028549395,64.624179898659,A,1187.0,110.0,215:ドライ飲料
つくねおむすび,109020.0,395.0,22,2,0.13111494984275887,64.75529484850175,A,4955.0,276.0,100:米飯
ＭＶＰＧメンソールウィズ,108654.0,199.0,65,2,0.13067477307113487,64.88596962157288,A,1672.0,546.0,290:たばこ
ザ・クレープ　生チョコ,108481.0,467.0,90,2,0.13046671137307214,65.01643633294596,A,1205.0,232.0,130:デザート
ＳＰＡＭ　玉子焼き明太子,108117.0,293.0,21,3,0.130028939938998,65.14646527288495,A,5148.0,369.0,100:米飯
１９６ＳＴゼロＷレモン３,107226.0,666.0,91,2,0.12895736206053626,65.27542263494549,A,1178.0,161.0,305:ワイン・洋酒
メビウス１・１００ＢＯＸ,105600.0,200.0,74,3,0.12700182263250173,65.402424457578,A,1427.0,528.0,290:たばこ
直巻　炙り焼　牛タン,104873.0,527.0,30,3,0.12612748243312832,65.52855194001113,A,3496.0,199.0,100:米飯
マルボロ・メン８Ｂ,103194.0,189.0,75,2,0.12410820156002257,65.65266014157115,A,1376.0,546.0,290:たばこ
ヘパリーゼＷ,102948.0,373.0,85,3,0.12381234504139002,65.77647248661253,A,1211.0,276.0,205:健康サポート飲料
